variety_name,forecast_week,horizon,horizon_week,wape,accuracy,forecast_stability_index,bias,total_forecast,total_harvest,forecast_kind,n_fields
Amazing Magic,2025-W52,3,2026-W02,1.7214043035107587,2.721404303510759,,1.7214043035107587,2403.0,883.0,final,1
Ariya,2025-W51,4,2026-W02,0.5126976521322473,1.5126976521322473,0.36598795128979306,0.5126976521322473,6314.0,4174.0,final,1
Ariya,2025-W52,3,2026-W02,0.7910876856732152,1.7910876856732152,0.36598795128979306,0.7910876856732152,7476.0,4174.0,final,1
Ariya,2026-W02,1,2026-W02,0.18447532343076187,0.8155246765692381,0.36598795128979306,-0.18447532343076187,3404.0,4174.0,final,1
Asteae,2025-W51,4,2026-W02,0.3807801195344448,1.151777288455489,0.32274514092144413,0.15177728845548916,7323.0,6358.0,final,2
Asteae,2025-W52,3,2026-W02,0.4136520918527839,0.5863479081472162,0.32274514092144413,-0.4136520918527839,3728.0,6358.0,final,2
Asteae,2026-W02,1,2026-W02,0.10710915382195658,0.8928908461780434,0.32274514092144413,-0.10710915382195658,5677.0,6358.0,final,2
Athena,2025-W51,4,2026-W02,0.22351583805328298,1.223515838053283,0.1964338504485198,0.22351583805328298,11665.0,9534.0,final,1
Athena,2025-W52,3,2026-W02,0.1501992867631634,1.1501992867631634,0.1964338504485198,0.1501992867631634,10966.0,9534.0,final,1
Athena,2026-W02,1,2026-W02,0.6372980910425844,1.6372980910425845,0.1964338504485198,0.6372980910425844,15610.0,9534.0,final,1
Azore,2025-W51,4,2026-W02,1.3217256192304176,2.321725619230418,0.41291419828173725,1.3217256192304176,25402.0,10941.0,final,2
Azore,2025-W52,3,2026-W02,0.7320171830728452,1.7320171830728452,0.41291419828173725,0.7320171830728452,18950.0,10941.0,final,2
Azore,2026-W02,1,2026-W02,0.7170276939950644,0.9490905767297322,0.41291419828173725,-0.0509094232702678,10384.0,10941.0,final,2
Babe,2025-W51,4,2026-W02,0.501909572502156,1.501909572502156,0.2456706173268809,0.501909572502156,12191.0,8117.0,final,2
Babe,2025-W52,3,2026-W02,0.06726623136626833,0.986940988049772,0.2456706173268809,-0.013059011950227916,8011.0,8117.0,final,2
Babe,2026-W02,1,2026-W02,0.06751262781815942,1.0226684735739806,0.2456706173268809,0.022668473573980535,8301.0,8117.0,final,2
Baby Follies,2025-W51,4,2026-W02,0.1692065795839381,0.830793420416062,0.42167744397913187,-0.1692065795839381,6869.0,8268.0,final,1
Baby Follies,2025-W52,3,2026-W02,0.6953313981615868,1.6953313981615867,0.42167744397913187,0.6953313981615868,14017.0,8268.0,final,1
Baby Follies,2026-W02,1,2026-W02,1.1065553942912434,2.1065553942912434,0.42167744397913187,1.1065553942912434,17417.0,8268.0,final,1
Bandolero,2025-W51,4,2026-W02,0.08038392321535692,0.9196160767846431,0.1434012827600032,-0.08038392321535692,10731.0,11669.0,final,1
Bandolero,2025-W52,3,2026-W02,0.22761162053303624,1.2276116205330363,0.1434012827600032,0.22761162053303624,14325.0,11669.0,final,1
Bandolero,2026-W02,1,2026-W02,0.07447082012168994,1.07447082012169,0.1434012827600032,0.07447082012168994,12538.0,11669.0,final,1
Belle Rose,2025-W51,4,2026-W02,0.12298935906953724,1.1229893590695372,0.40449640429327827,0.12298935906953724,4538.0,4041.0,final,1
Belle Rose,2025-W52,3,2026-W02,0.5100222717149221,0.48997772828507796,0.40449640429327827,-0.5100222717149221,1980.0,4041.0,final,1
Belle Rose,2026-W02,1,2026-W02,0.25216530561742145,0.7478346943825785,0.40449640429327827,-0.25216530561742145,3022.0,4041.0,final,1
Camaro,2025-W51,4,2026-W02,0.1475622968580715,0.8524377031419285,0.1804811853078426,-0.1475622968580715,7868.0,9230.0,final,1
Camaro,2025-W52,3,2026-W02,0.10184182015167931,1.1018418201516793,0.1804811853078426,0.10184182015167931,10170.0,9230.0,final,1
Cheyenne,2025-W51,4,2026-W02,1.0925589836660616,2.092558983666062,0.31644690711536533,1.0925589836660616,11530.0,5510.0,final,1
Cheyenne,2025-W52,3,2026-W02,0.4128856624319419,1.412885662431942,0.31644690711536533,0.4128856624319419,7785.0,5510.0,final,1
Cheyenne,2026-W02,1,2026-W02,0.14101633393829402,1.141016333938294,0.31644690711536533,0.14101633393829402,6287.0,5510.0,final,1
Chococcino,2025-W51,4,2026-W02,1.582668793195109,2.582668793195109,0.41699931373865845,1.582668793195109,4858.0,1881.0,final,1
Chococcino,2025-W52,3,2026-W02,0.49229133439659756,1.4922913343965976,0.41699931373865845,0.49229133439659756,2807.0,1881.0,final,1
Chococcino,2026-W02,1,2026-W02,0.19138755980861244,1.1913875598086126,0.41699931373865845,0.19138755980861244,2241.0,1881.0,final,1
Destini,2025-W51,4,2026-W02,0.21432783018867924,1.2143278301886793,0.24635377984633136,0.21432783018867924,4119.0,3392.0,final,1
Destini,2025-W52,3,2026-W02,0.7753537735849056,1.7753537735849056,0.24635377984633136,0.7753537735849056,6022.0,3392.0,final,1
Destini,2026-W02,1,2026-W02,0.15978773584905662,1.1597877358490567,0.24635377984633136,0.15978773584905662,3934.0,3392.0,final,1
Dima Bombastic,2025-W51,4,2026-W02,0.4421193232413179,0.5578806767586821,0.7352365356910779,-0.4421193232413179,2506.0,4492.0,final,2
Dima Bombastic,2025-W52,3,2026-W02,0.7181208053691275,0.28187919463087246,0.7352365356910779,-0.7181208053691275,630.0,2235.0,final,1
Dima Bombastic,2026-W02,1,2026-W02,0.2513357079252004,0.9459038290293855,0.7352365356910779,-0.05409617097061443,4249.0,4492.0,final,2
Dinara,2025-W51,4,2026-W02,0.38174499564838993,1.3817449956483898,0.36417015498130634,0.38174499564838993,25402.0,18384.0,final,1
Dinara,2025-W52,3,2026-W02,0.24053524804177545,0.7594647519582245,0.36417015498130634,-0.24053524804177545,13962.0,18384.0,final,1
Dinara,2026-W02,1,2026-W02,0.2228024369016536,0.7771975630983464,0.36417015498130634,-0.2228024369016536,14288.0,18384.0,final,1
Downtown,2025-W51,4,2026-W02,0.0638646288209607,0.9361353711790393,0.15338861763569528,-0.0638646288209607,3430.0,3664.0,final,1
Downtown,2025-W52,3,2026-W02,0.07914847161572053,0.9208515283842795,0.15338861763569528,-0.07914847161572053,3374.0,3664.0,final,1
