field_name,variety_name,forecast_week,horizon,horizon_week,wape,accuracy,forecast_stability_index,bias,total_forecast,total_harvest,forecast_kind
GH 13 (F),Abeba,2026-W04,1,2026-W04,0.8803418803418803,0.11965811965811966,,-0.8803418803418803,42.0,351.0,final
GH 16 (A),Alicia,2026-W01,4,2026-W04,2.245759025663332,3.245759025663332,0.7041619884677033,2.245759025663332,14924.0,4598.0,final
GH 16 (A),Alicia,2026-W02,3,2026-W04,0.4628099173553719,1.462809917355372,0.7041619884677033,0.4628099173553719,6726.0,4598.0,final
GH 16 (A),Alicia,2026-W03,2,2026-W04,0.10983036102653328,1.1098303610265332,0.7041619884677033,0.10983036102653328,5103.0,4598.0,final
GH 16 (A),Alicia,2026-W04,1,2026-W04,0.35667681600695955,0.6433231839930404,0.7041619884677033,-0.35667681600695955,2958.0,4598.0,final
GH 16 (B),Azore,2026-W01,4,2026-W04,1.6934587430525865,2.6934587430525867,0.36681469765741037,1.6934587430525865,6300.0,2339.0,final
GH 16 (B),Azore,2026-W02,3,2026-W04,0.7840957674219752,1.7840957674219753,0.36681469765741037,0.7840957674219752,4173.0,2339.0,final
GH 16 (B),Azore,2026-W03,2,2026-W04,0.4429243266353142,1.4429243266353142,0.36681469765741037,0.4429243266353142,3375.0,2339.0,final
GH 16 (B),Azore,2026-W04,1,2026-W04,0.20350577169730655,1.2035057716973065,0.36681469765741037,0.20350577169730655,2815.0,2339.0,final
GH 18 (H),Azore,2026-W01,4,2026-W04,2.962015795411809,3.962015795411809,0.47526650971622425,2.962015795411809,21070.0,5318.0,final
GH 18 (H),Azore,2026-W02,3,2026-W04,1.8121474238435502,2.81214742384355,0.47526650971622425,1.8121474238435502,14955.0,5318.0,final
GH 18 (H),Azore,2026-W03,2,2026-W04,0.9405791650996616,1.9405791650996616,0.47526650971622425,0.9405791650996616,10320.0,5318.0,final
GH 18 (H),Azore,2026-W04,1,2026-W04,0.22151184655885672,1.2215118465588568,0.47526650971622425,0.22151184655885672,6496.0,5318.0,final
GH 20 (D),Azore,2026-W01,4,2026-W04,1.3465804066543439,2.346580406654344,0.389461184158284,1.3465804066543439,17773.0,7574.0,final
GH 20 (D),Azore,2026-W02,3,2026-W04,0.5073937153419593,1.5073937153419594,0.389461184158284,0.5073937153419593,11417.0,7574.0,final
GH 20 (D),Azore,2026-W03,2,2026-W04,0.3460522841299181,1.346052284129918,0.389461184158284,0.3460522841299181,10195.0,7574.0,final
GH 20 (D),Azore,2026-W04,1,2026-W04,0.07486136783733827,0.9251386321626618,0.389461184158284,-0.07486136783733827,7007.0,7574.0,final
GH 13 (E),Babe,2026-W01,4,2026-W04,1.1333333333333333,2.1333333333333333,0.6005001866151715,1.1333333333333333,8960.0,4200.0,final
GH 13 (E),Babe,2026-W02,3,2026-W04,0.4561904761904762,1.4561904761904763,0.6005001866151715,0.4561904761904762,6116.0,4200.0,final
GH 13 (E),Babe,2026-W03,2,2026-W04,0.10142857142857142,0.8985714285714286,0.6005001866151715,-0.10142857142857142,3774.0,4200.0,final
GH 13 (E),Babe,2026-W04,1,2026-W04,0.5780952380952381,0.4219047619047619,0.6005001866151715,-0.5780952380952381,1772.0,4200.0,final
GH 9 (F),Babe,2026-W01,4,2026-W04,0.23304831974547624,0.7669516802545238,0.31878454769655734,-0.23304831974547624,7714.0,10058.0,final
GH 9 (F),Babe,2026-W02,3,2026-W04,0.13054285146152317,1.1305428514615232,0.31878454769655734,0.13054285146152317,11371.0,10058.0,final
GH 9 (F),Babe,2026-W03,2,2026-W04,0.16971564923444024,0.8302843507655597,0.31878454769655734,-0.16971564923444024,8351.0,10058.0,final
GH 9 (F),Babe,2026-W04,1,2026-W04,0.49652018293895406,0.5034798170610459,0.31878454769655734,-0.49652018293895406,5064.0,10058.0,final
GH 12 (B),Bandolero,2026-W01,4,2026-W04,1.1459586712006278,2.1459586712006278,0.19983989010620087,1.1459586712006278,8204.0,3823.0,final
GH 12 (B),Bandolero,2026-W02,3,2026-W04,1.6123463248757521,2.612346324875752,0.19983989010620087,1.6123463248757521,9987.0,3823.0,final
GH 12 (B),Bandolero,2026-W03,2,2026-W04,1.2639288516871567,2.2639288516871567,0.19983989010620087,1.2639288516871567,8655.0,3823.0,final
GH 12 (B),Bandolero,2026-W04,1,2026-W04,0.5780800418519487,1.5780800418519487,0.19983989010620087,0.5780800418519487,6033.0,3823.0,final
GH 13 (C),Bandolero,2026-W01,4,2026-W04,1.2647058823529411,2.264705882352941,0.371118017707939,1.2647058823529411,1232.0,544.0,final
GH 13 (C),Bandolero,2026-W02,3,2026-W04,1.1672794117647058,2.167279411764706,0.371118017707939,1.1672794117647058,1179.0,544.0,final
GH 13 (C),Bandolero,2026-W03,2,2026-W04,2.338235294117647,3.338235294117647,0.371118017707939,2.338235294117647,1816.0,544.0,final
GH 13 (C),Bandolero,2026-W04,1,2026-W04,0.2867647058823529,1.286764705882353,0.371118017707939,0.2867647058823529,700.0,544.0,final
GH 10 (F),Bellalinda Cerise,2026-W01,4,2026-W04,0.7526501766784452,0.24734982332155478,0.5792822455765843,-0.7526501766784452,210.0,849.0,final
GH 10 (F),Bellalinda Cerise,2026-W02,3,2026-W04,0.3568904593639576,1.3568904593639577,0.5792822455765843,0.3568904593639576,1152.0,849.0,final
GH 10 (F),Bellalinda Cerise,2026-W03,2,2026-W04,0.05182567726737338,0.9481743227326266,0.5792822455765843,-0.05182567726737338,805.0,849.0,final
GH 10 (F),Bellalinda Cerise,2026-W04,1,2026-W04,0.3286219081272085,0.6713780918727915,0.5792822455765843,-0.3286219081272085,570.0,849.0,final
GH 17 (B),Bellalinda Cerise,2026-W01,4,2026-W04,0.8648232094288305,0.13517679057116955,0.5176294008007506,-0.8648232094288305,1491.0,11030.0,final
GH 17 (B),Bellalinda Cerise,2026-W02,3,2026-W04,0.5446056210335449,0.4553943789664551,0.5176294008007506,-0.5446056210335449,5023.0,11030.0,final
GH 17 (B),Bellalinda Cerise,2026-W03,2,2026-W04,0.7193109700815956,0.28068902991840433,0.5176294008007506,-0.7193109700815956,3096.0,11030.0,final
GH 17 (B),Bellalinda Cerise,2026-W04,1,2026-W04,0.800453309156845,0.19954669084315504,0.5176294008007506,-0.800453309156845,2201.0,11030.0,final
GH 20 (A),Bellalinda Cerise,2026-W01,4,2026-W04,0.878146318513291,0.12185368148670901,0.677827274816518,-0.878146318513291,518.0,4251.0,final
GH 20 (A),Bellalinda Cerise,2026-W02,3,2026-W04,0.17054810632792283,1.1705481063279228,0.677827274816518,0.17054810632792283,4976.0,4251.0,final
GH 20 (A),Bellalinda Cerise,2026-W03,2,2026-W04,0.23735591625499883,0.7626440837450011,0.677827274816518,-0.23735591625499883,3242.0,4251.0,final
GH 20 (A),Bellalinda Cerise,2026-W04,1,2026-W04,0.4681251470242296,0.5318748529757704,0.677827274816518,-0.4681251470242296,2261.0,4251.0,final
GH 18 (B),Birds Nest,2026-W01,4,2026-W04,0.6607270135424091,0.33927298645759085,0.5629493735728457,-0.6607270135424091,476.0,1403.0,final
GH 18 (B),Birds Nest,2026-W02,3,2026-W04,0.6357804704205274,1.6357804704205274,0.5629493735728457,0.6357804704205274,2295.0,1403.0,final
GH 18 (B),Birds Nest,2026-W03,2,2026-W04,0.9372772630078403,1.9372772630078403,0.5629493735728457,0.9372772630078403,2718.0,1403.0,final
GH 18 (B),Birds Nest,2026-W04,1,2026-W04,0.07840342124019957,1.0784034212401996,0.5629493735728457,0.07840342124019957,1513.0,1403.0,final
GH 7 (E),Blue Moon,2026-W01,4,2026-W04,0.9936479128856625,0.006352087114337568,0.6660220461100814,-0.9936479128856625,7.0,1102.0,final
GH 7 (E),Blue Moon,2026-W02,3,2026-W04,0.31488203266787657,0.6851179673321234,0.6660220461100814,-0.31488203266787657,755.0,1102.0,final
GH 7 (E),Blue Moon,2026-W03,2,2026-W04,0.39836660617059894,0.6016333938294011,0.6660220461100814,-0.39836660617059894,663.0,1102.0,final
GH 7 (E),Blue Moon,2026-W04,1,2026-W04,0.27586206896551724,0.7241379310344828,0.6660220461100814,-0.27586206896551724,798.0,1102.0,final
GH 15 (A),Bonnieux!,2026-W01,4,2026-W04,0.971252566735113,0.028747433264887063,0.7323508150217188,-0.971252566735113,14.0,487.0,final
GH 15 (A),Bonnieux!,2026-W02,3,2026-W04,0.20123203285420946,0.7987679671457906,0.7323508150217188,-0.20123203285420946,389.0,487.0,final
GH 15 (A),Bonnieux!,2026-W03,2,2026-W04,0.4784394250513347,0.5215605749486653,0.7323508150217188,-0.4784394250513347,254.0,487.0,final
GH 15 (A),Bonnieux!,2026-W04,1,2026-W04,0.6036960985626283,0.39630390143737165,0.7323508150217188,-0.6036960985626283,193.0,487.0,final
GH 21 (E),Chazay!,2026-W01,4,2026-W04,0.6366782006920415,0.3633217993079585,0.5510266445792832,-0.6366782006920415,105.0,289.0,final
GH 21 (E),Chazay!,2026-W02,3,2026-W04,0.2975778546712803,1.2975778546712802,0.5510266445792832,0.2975778546712803,375.0,289.0,final
GH 21 (E),Chazay!,2026-W03,2,2026-W04,0.01384083044982699,0.986159169550173,0.5510266445792832,-0.01384083044982699,285.0,289.0,final
GH 21 (E),Chazay!,2026-W04,1,2026-W04,0.5017301038062284,0.4982698961937716,0.5510266445792832,-0.5017301038062284,144.0,289.0,final
GH 12 (A),Dinara,2026-W01,4,2026-W04,0.9420942408376963,0.057905759162303665,0.6508465111065262,-0.9420942408376963,553.0,9550.0,final
GH 12 (A),Dinara,2026-W02,3,2026-W04,0.3134031413612565,1.3134031413612566,0.6508465111065262,0.3134031413612565,12543.0,9550.0,final
GH 12 (A),Dinara,2026-W03,2,2026-W04,0.0425130890052356,1.0425130890052356,0.6508465111065262,0.0425130890052356,9956.0,9550.0,final
GH 12 (A),Dinara,2026-W04,1,2026-W04,0.07926701570680628,0.9207329842931937,0.6508465111065262,-0.07926701570680628,8793.0,9550.0,final
GH 19 (D),Dinara,2026-W01,4,2026-W04,0.8732795443758898,0.1267204556241101,0.5429993623725694,-0.8732795443758898,1869.0,14749.0,final
