field_name,variety_name,forecast_week,horizon,horizon_week,wape,accuracy,forecast_stability_index,bias,total_forecast,total_harvest,forecast_kind
GH 18,Athena,2026-W01,4,2026-W04,0.4237605238540692,0.5762394761459307,0.14266435533311284,-0.4237605238540692,123200.0,213800.0,final
GH 18,Athena,2026-W02,3,2026-W04,0.4969036482694107,0.5030963517305893,0.14266435533311284,-0.4969036482694107,107562.0,213800.0,final
GH 18,Athena,2026-W03,2,2026-W04,0.31823666978484566,0.6817633302151543,0.14266435533311284,-0.31823666978484566,145761.0,213800.0,final
GH 18,Athena,2026-W04,1,2026-W04,0.31898971000935455,0.6810102899906455,0.14266435533311284,-0.31898971000935455,145600.0,213800.0,final
GH 2,Athena,2026-W01,4,2026-W04,0.3846327409053041,0.6153672590946959,0.308770758016278,-0.3846327409053041,106365.0,172848.0,final
GH 2,Athena,2026-W02,3,2026-W04,0.2399796352864945,0.7600203647135055,0.308770758016278,-0.2399796352864945,131368.0,172848.0,final
GH 2,Athena,2026-W03,2,2026-W04,0.4553017680273998,0.5446982319726003,0.308770758016278,-0.4553017680273998,94150.0,172848.0,final
GH 2,Athena,2026-W04,1,2026-W04,0.06451911506063131,1.0645191150606312,0.308770758016278,0.06451911506063131,184000.0,172848.0,final
GH 26,Athena,2026-W01,4,2026-W04,0.7349154000573559,0.2650845999426441,0.509863335477254,-0.7349154000573559,36974.0,139480.0,final
GH 26,Athena,2026-W02,3,2026-W04,0.663535990823057,0.3364640091769429,0.509863335477254,-0.663535990823057,46930.0,139480.0,final
GH 26,Athena,2026-W03,2,2026-W04,0.21096931459707485,0.7890306854029252,0.509863335477254,-0.21096931459707485,110054.0,139480.0,final
GH 26,Athena,2026-W04,1,2026-W04,0.24858044164037854,0.7514195583596215,0.509863335477254,-0.24858044164037854,104808.0,139480.0,final
GH 28,Athena,2026-W01,4,2026-W04,0.541446530872056,0.458553469127944,0.28846911934683245,-0.541446530872056,57631.0,125680.0,final
GH 28,Athena,2026-W02,3,2026-W04,0.3730108211330363,0.6269891788669637,0.28846911934683245,-0.3730108211330363,78800.0,125680.0,final
GH 28,Athena,2026-W03,2,2026-W04,0.3636616804583068,0.6363383195416932,0.28846911934683245,-0.3636616804583068,79975.0,125680.0,final
GH 28,Athena,2026-W04,1,2026-W04,0.08213717377466581,0.9178628262253342,0.28846911934683245,-0.08213717377466581,115357.0,125680.0,final
GH 35,Athena,2026-W01,4,2026-W04,0.31954077743902437,0.6804592225609756,0.219499332316854,-0.31954077743902437,71421.0,104960.0,final
GH 35,Athena,2026-W02,3,2026-W04,0.4311928353658537,0.5688071646341464,0.219499332316854,-0.4311928353658537,59702.0,104960.0,final
GH 35,Athena,2026-W03,2,2026-W04,0.38069740853658535,0.6193025914634146,0.219499332316854,-0.38069740853658535,65002.0,104960.0,final
GH 35,Athena,2026-W04,1,2026-W04,0.08568978658536586,0.9143102134146341,0.219499332316854,-0.08568978658536586,95966.0,104960.0,final
GH 4,Athena,2026-W01,4,2026-W04,0.2996825876662636,0.7003174123337363,0.2390197242871259,-0.2996825876662636,46333.0,66160.0,final
GH 4,Athena,2026-W02,3,2026-W04,0.329549576783555,0.670450423216445,0.2390197242871259,-0.329549576783555,44357.0,66160.0,final
GH 4,Athena,2026-W03,2,2026-W04,0.056287787182587666,0.9437122128174124,0.2390197242871259,-0.056287787182587666,62436.0,66160.0,final
GH 4,Athena,2026-W04,1,2026-W04,0.09764207980652963,1.0976420798065296,0.2390197242871259,0.09764207980652963,72620.0,66160.0,final
GH 48,Athena,2026-W01,4,2026-W04,0.19425981873111783,0.8057401812688821,0.11339054777013598,-0.19425981873111783,96012.0,119160.0,final
GH 48,Athena,2026-W02,3,2026-W04,0.24716347767707283,0.7528365223229272,0.11339054777013598,-0.24716347767707283,89708.0,119160.0,final
GH 48,Athena,2026-W03,2,2026-W04,0.29506545820745217,0.7049345417925479,0.11339054777013598,-0.29506545820745217,84000.0,119160.0,final
GH 48,Athena,2026-W04,1,2026-W04,0.3863125209801947,0.6136874790198052,0.11339054777013598,-0.3863125209801947,73127.0,119160.0,final
