field_name,variety_name,forecast_week,horizon,horizon_week,wape,accuracy,forecast_stability_index,bias,total_forecast,total_harvest,forecast_kind
GH (10),Ever Red,2026-W03,4,2026-W06,0.6555398197291967,0.3444601802708033,0.43301797733071834,-0.6555398197291967,26025.0,75553.0,final
GH (10),Ever Red,2026-W04,3,2026-W06,0.1590539091763398,0.8409460908236602,0.43301797733071834,-0.1590539091763398,63536.0,75553.0,final
GH (10),Ever Red,2026-W05,2,2026-W06,0.14307836882718092,0.856921631172819,0.43301797733071834,-0.14307836882718092,64743.0,75553.0,final
GH (10),Ever Red,2026-W06,1,2026-W06,0.1956374995036597,1.1956374995036596,0.43301797733071834,0.1956374995036597,90334.0,75553.0,final
GH (11),Ever Red,2026-W03,4,2026-W06,0.013921734862344385,0.9860782651376556,0.09132875169706435,-0.013921734862344385,22099.0,22411.0,final
GH (11),Ever Red,2026-W04,3,2026-W06,0.13488911695149702,1.134889116951497,0.09132875169706435,0.13488911695149702,25434.0,22411.0,final
GH (11),Ever Red,2026-W05,2,2026-W06,0.08147784570077195,0.918522154299228,0.09132875169706435,-0.08147784570077195,20585.0,22411.0,final
GH (11),Ever Red,2026-W06,1,2026-W06,0.06220159742983356,1.0622015974298336,0.09132875169706435,0.06220159742983356,23805.0,22411.0,final
GH (13),Ever Red,2026-W03,4,2026-W06,0.36263842079922964,1.3626384207992297,0.16332609238279638,0.36263842079922964,28302.0,20770.0,final
GH (13),Ever Red,2026-W04,3,2026-W06,0.49114106884930187,1.4911410688493019,0.16332609238279638,0.49114106884930187,30971.0,20770.0,final
GH (13),Ever Red,2026-W05,2,2026-W06,0.1223399133365431,1.122339913336543,0.16332609238279638,0.1223399133365431,23311.0,20770.0,final
GH (13),Ever Red,2026-W06,1,2026-W06,0.05132402503610978,1.0513240250361098,0.16332609238279638,0.05132402503610978,21836.0,20770.0,final
GH (15),Ever Red,2026-W03,4,2026-W06,0.48190014802852915,0.5180998519714709,0.8568932219269647,-0.48190014802852915,7700.0,14862.0,final
