field_name,variety_name,forecast_week,horizon,horizon_week,wape,accuracy,forecast_stability_index,bias,total_forecast,total_harvest,forecast_kind
GH 9(A),Ariya,2026-W03,4,2026-W06,0.428759244042728,1.428759244042728,0.34672215154378544,0.428759244042728,8694.0,6085.0,final
GH 9(A),Ariya,2026-W04,3,2026-W06,0.053245686113393594,1.0532456861133936,0.34672215154378544,0.053245686113393594,6409.0,6085.0,final
GH 9(A),Ariya,2026-W05,2,2026-W06,0.2752670501232539,0.7247329498767461,0.34672215154378544,-0.2752670501232539,4410.0,6085.0,final
GH 9(A),Ariya,2026-W06,1,2026-W06,0.2913722267871816,0.7086277732128184,0.34672215154378544,-0.2913722267871816,4312.0,6085.0,final
GH 13(C),Asteae,2026-W03,4,2026-W06,1.8668672433245581,2.866867243324558,0.6476711858537231,1.8668672433245581,15246.0,5318.0,final
GH 13(C),Asteae,2026-W04,3,2026-W06,0.12636329447160588,1.1263632944716058,0.6476711858537231,0.12636329447160588,5990.0,5318.0,final
GH 13(C),Asteae,2026-W05,2,2026-W06,0.4936066190297104,0.5063933809702896,0.6476711858537231,-0.4936066190297104,2693.0,5318.0,final
GH 13(C),Asteae,2026-W06,1,2026-W06,0.7032719067318541,1.703271906731854,0.6476711858537231,0.7032719067318541,9058.0,5318.0,final
GH 43(C),Asteae,2026-W03,4,2026-W06,0.6814303128809427,0.3185696871190573,0.4107508791848658,-0.6814303128809427,784.0,2461.0,final
GH 43(C),Asteae,2026-W04,3,2026-W06,0.5725314912637139,0.42746850873628606,0.4107508791848658,-0.5725314912637139,1052.0,2461.0,final
GH 43(C),Asteae,2026-W05,2,2026-W06,0.48029256399837467,0.5197074360016254,0.4107508791848658,-0.48029256399837467,1279.0,2461.0,final
GH 43(C),Asteae,2026-W06,1,2026-W06,0.18325883787078423,0.8167411621292158,0.4107508791848658,-0.18325883787078423,2010.0,2461.0,final
GH 25(A),Athena,2026-W03,4,2026-W06,0.4249607003051506,0.5750392996948495,0.12079202507101078,-0.4249607003051506,37312.0,64886.0,final
GH 25(A),Athena,2026-W04,3,2026-W06,0.3982677310976174,0.6017322689023826,0.12079202507101078,-0.3982677310976174,39044.0,64886.0,final
GH 25(A),Athena,2026-W05,2,2026-W06,0.40697531054464753,0.5930246894553525,0.12079202507101078,-0.40697531054464753,38479.0,64886.0,final
GH 25(A),Athena,2026-W06,1,2026-W06,0.2601331566131369,0.7398668433868631,0.12079202507101078,-0.2601331566131369,48007.0,64886.0,final
GH 12(A),Azore,2026-W03,4,2026-W06,1.5345298478345688,2.534529847834569,0.5010201289929396,1.5345298478345688,6496.0,2563.0,final
GH 12(A),Azore,2026-W04,3,2026-W06,0.6687475614514241,1.6687475614514242,0.5010201289929396,0.6687475614514241,4277.0,2563.0,final
GH 12(A),Azore,2026-W05,2,2026-W06,0.14202106905969566,1.1420210690596957,0.5010201289929396,0.14202106905969566,2927.0,2563.0,final
GH 12(A),Azore,2026-W06,1,2026-W06,0.2317596566523605,0.7682403433476395,0.5010201289929396,-0.2317596566523605,1969.0,2563.0,final
GH 28(B),Azore,2026-W03,4,2026-W06,0.20406626506024098,0.795933734939759,0.1832184513965945,-0.20406626506024098,6342.0,7968.0,final
GH 28(B),Azore,2026-W04,3,2026-W06,0.3585592369477912,0.6414407630522089,0.1832184513965945,-0.3585592369477912,5111.0,7968.0,final
GH 28(B),Azore,2026-W05,2,2026-W06,0.0007530120481927711,1.0007530120481927,0.1832184513965945,0.0007530120481927711,7974.0,7968.0,final
GH 28(B),Azore,2026-W06,1,2026-W06,0.2129769076305221,0.7870230923694779,0.1832184513965945,-0.2129769076305221,6271.0,7968.0,final
GH 11(B),Babe,2026-W03,4,2026-W06,1.0830608240680184,2.0830608240680184,0.5640100603604538,1.0830608240680184,3185.0,1529.0,final
GH 11(B),Babe,2026-W04,3,2026-W06,0.37671680837148463,1.3767168083714847,0.5640100603604538,0.37671680837148463,2105.0,1529.0,final
GH 11(B),Babe,2026-W05,2,2026-W06,0.21124918247220406,0.788750817527796,0.5640100603604538,-0.21124918247220406,1206.0,1529.0,final
GH 11(B),Babe,2026-W06,1,2026-W06,0.434270765206017,0.565729234793983,0.5640100603604538,-0.434270765206017,865.0,1529.0,final
GH 17(A),Babe,2026-W03,4,2026-W06,0.23285486443381181,1.2328548644338118,0.37683043161011764,0.23285486443381181,5411.0,4389.0,final
GH 17(A),Babe,2026-W04,3,2026-W06,1.7737525632262474,2.7737525632262474,0.37683043161011764,1.7737525632262474,12174.0,4389.0,final
GH 17(A),Babe,2026-W05,2,2026-W06,2.518341307814992,3.518341307814992,0.37683043161011764,2.518341307814992,15442.0,4389.0,final
GH 17(A),Babe,2026-W06,1,2026-W06,1.5860104807473228,2.5860104807473228,0.37683043161011764,1.5860104807473228,11350.0,4389.0,final
GH 34(B),Baby Follies,2026-W03,4,2026-W06,0.4177341540509067,0.5822658459490934,0.18699373523868343,-0.4177341540509067,7000.0,12022.0,final
GH 34(B),Baby Follies,2026-W04,3,2026-W06,0.4590750291132923,0.5409249708867077,0.18699373523868343,-0.4590750291132923,6503.0,12022.0,final
GH 34(B),Baby Follies,2026-W05,2,2026-W06,0.1834137414739644,0.8165862585260356,0.18699373523868343,-0.1834137414739644,9817.0,12022.0,final
GH 34(B),Baby Follies,2026-W06,1,2026-W06,0.3230743636666112,0.6769256363333888,0.18699373523868343,-0.3230743636666112,8138.0,12022.0,final
GH 7(B),Bandolero,2026-W03,4,2026-W06,0.16516516516516516,1.165165165165165,0.1288511182556595,0.16516516516516516,13580.0,11655.0,final
GH 7(B),Bandolero,2026-W04,3,2026-W06,0.011926211926211926,1.011926211926212,0.1288511182556595,0.011926211926211926,11794.0,11655.0,final
GH 7(B),Bandolero,2026-W05,2,2026-W06,0.08176748176748176,0.9182325182325183,0.1288511182556595,-0.08176748176748176,10702.0,11655.0,final
GH 7(B),Bandolero,2026-W06,1,2026-W06,0.1232947232947233,0.8767052767052768,0.1288511182556595,-0.1232947232947233,10218.0,11655.0,final
GH 4(A),Belle Rose,2026-W03,4,2026-W06,0.16793733681462142,0.8320626631853786,0.34175613698225776,-0.16793733681462142,15934.0,19150.0,final
GH 4(A),Belle Rose,2026-W04,3,2026-W06,0.033733681462140994,1.033733681462141,0.34175613698225776,0.033733681462140994,19796.0,19150.0,final
GH 4(A),Belle Rose,2026-W05,2,2026-W06,0.16647519582245432,0.8335248041775457,0.34175613698225776,-0.16647519582245432,15962.0,19150.0,final
GH 4(A),Belle Rose,2026-W06,1,2026-W06,0.611644908616188,1.611644908616188,0.34175613698225776,0.611644908616188,30863.0,19150.0,final
GH (5) A,Camaro,2026-W03,4,2026-W06,0.2954203037187612,0.7045796962812388,0.16887507126914494,-0.2954203037187612,29462.0,41815.0,final
GH (5) A,Camaro,2026-W04,3,2026-W06,0.21604687313165133,0.7839531268683487,0.16887507126914494,-0.21604687313165133,32781.0,41815.0,final
GH (5) A,Camaro,2026-W05,2,2026-W06,0.16623221332057875,0.8337677866794213,0.16887507126914494,-0.16623221332057875,34864.0,41815.0,final
GH (5) A,Camaro,2026-W06,1,2026-W06,0.03704412292239627,1.0370441229223963,0.16887507126914494,0.03704412292239627,43364.0,41815.0,final
GH 3(A),Cheyenne,2026-W03,4,2026-W06,0.1118082788671024,0.8881917211328976,0.23954923099499323,-0.1118082788671024,10192.0,11475.0,final
GH 3(A),Cheyenne,2026-W04,3,2026-W06,0.008888888888888889,1.008888888888889,0.23954923099499323,0.008888888888888889,11577.0,11475.0,final
GH 3(A),Cheyenne,2026-W05,2,2026-W06,0.42091503267973857,1.4209150326797386,0.23954923099499323,0.42091503267973857,16305.0,11475.0,final
GH 3(A),Cheyenne,2026-W06,1,2026-W06,0.10875816993464052,0.8912418300653595,0.23954923099499323,-0.10875816993464052,10227.0,11475.0,final
GH 20(A),Chococcino,2026-W03,4,2026-W06,4.236328125,5.236328125,0.5552183571020652,4.236328125,2681.0,512.0,final
GH 20(A),Chococcino,2026-W04,3,2026-W06,3.044921875,4.044921875,0.5552183571020652,3.044921875,2071.0,512.0,final
GH 20(A),Chococcino,2026-W05,2,2026-W06,0.705078125,1.705078125,0.5552183571020652,0.705078125,873.0,512.0,final
GH 20(A),Chococcino,2026-W06,1,2026-W06,0.708984375,1.708984375,0.5552183571020652,0.708984375,875.0,512.0,final
GH 12(B),Destini,2026-W03,4,2026-W06,0.5817585153332578,0.4182414846667421,0.30995242131875483,-0.5817585153332578,3696.0,8837.0,final
GH 12(B),Destini,2026-W04,3,2026-W06,0.08951001471087473,0.9104899852891253,0.30995242131875483,-0.08951001471087473,8046.0,8837.0,final
GH 12(B),Destini,2026-W05,2,2026-W06,0.10252348081928256,0.8974765191807175,0.30995242131875483,-0.10252348081928256,7931.0,8837.0,final
GH 12(B),Destini,2026-W06,1,2026-W06,0.26943532873146997,0.7305646712685301,0.30995242131875483,-0.26943532873146997,6456.0,8837.0,final
GH 14(D),Dima Bombastic,2026-W04,3,2026-W06,0.3818770226537217,1.3818770226537216,0.2776412488464297,0.3818770226537217,1281.0,927.0,final
GH 14(D),Dima Bombastic,2026-W05,2,2026-W06,0.04638619201725998,0.95361380798274,0.2776412488464297,-0.04638619201725998,884.0,927.0,final
GH 14(D),Dima Bombastic,2026-W06,1,2026-W06,0.17691477885652643,0.8230852211434736,0.2776412488464297,-0.17691477885652643,763.0,927.0,final
GH 18(D),Dima Bombastic,2026-W04,3,2026-W06,5.1291834002677374,6.1291834002677374,1.1610965362952357,5.1291834002677374,9157.0,1494.0,final
GH 18(D),Dima Bombastic,2026-W05,2,2026-W06,0.05555555555555555,1.0555555555555556,1.1610965362952357,0.05555555555555555,1577.0,1494.0,final
GH 18(D),Dima Bombastic,2026-W06,1,2026-W06,0.32061579651941097,0.679384203480589,1.1610965362952357,-0.32061579651941097,1015.0,1494.0,final
GH 24(A),Dinara,2026-W03,4,2026-W06,0.4224330357142857,0.5775669642857143,0.30940182082441936,-0.4224330357142857,12420.0,21504.0,final
GH 24(A),Dinara,2026-W04,3,2026-W06,0.3597935267857143,0.6402064732142857,0.30940182082441936,-0.3597935267857143,13767.0,21504.0,final
GH 24(A),Dinara,2026-W05,2,2026-W06,0.11263020833333333,1.1126302083333333,0.30940182082441936,0.11263020833333333,23926.0,21504.0,final
GH 24(A),Dinara,2026-W06,1,2026-W06,0.053431919642857144,0.9465680803571429,0.30940182082441936,-0.053431919642857144,20355.0,21504.0,final
GH 11(D),Downtown,2026-W03,4,2026-W06,0.236979946123915,0.763020053876085,0.24525695763915548,-0.236979946123915,10197.0,13364.0,final
GH 11(D),Downtown,2026-W04,3,2026-W06,0.2478299910206525,0.7521700089793475,0.24525695763915548,-0.2478299910206525,10052.0,13364.0,final
GH 11(D),Downtown,2026-W05,2,2026-W06,0.5680185573181682,0.4319814426818318,0.24525695763915548,-0.5680185573181682,5773.0,13364.0,final
GH 11(D),Downtown,2026-W06,1,2026-W06,0.4046692607003891,0.5953307392996109,0.24525695763915548,-0.4046692607003891,7956.0,13364.0,final
GH 16(D),Dynamite,2026-W03,4,2026-W06,0.5572855464159812,1.5572855464159812,0.22336499712187233,0.5572855464159812,5301.0,3404.0,final
GH 16(D),Dynamite,2026-W04,3,2026-W06,1.1081081081081081,2.108108108108108,0.22336499712187233,1.1081081081081081,7176.0,3404.0,final
GH 16(D),Dynamite,2026-W05,2,2026-W06,0.35517038777908344,1.3551703877790835,0.22336499712187233,0.35517038777908344,4613.0,3404.0,final
GH 16(D),Dynamite,2026-W06,1,2026-W06,1.1618683901292597,2.1618683901292597,0.22336499712187233,1.1618683901292597,7359.0,3404.0,final
GH 11(A),Eyeliner,2026-W03,4,2026-W06,2.4366141732283464,3.4366141732283464,0.6726649929957816,2.4366141732283464,8729.0,2540.0,final
GH 11(A),Eyeliner,2026-W04,3,2026-W06,0.45433070866141734,1.4543307086614172,0.6726649929957816,0.45433070866141734,3694.0,2540.0,final
GH 11(A),Eyeliner,2026-W05,2,2026-W06,0.21968503937007874,0.7803149606299212,0.6726649929957816,-0.21968503937007874,1982.0,2540.0,final
GH 11(A),Eyeliner,2026-W06,1,2026-W06,0.2767716535433071,1.2767716535433071,0.6726649929957816,0.2767716535433071,3243.0,2540.0,final
GH 15(C),Fire Flash,2026-W03,4,2026-W06,0.5606714962385065,0.43932850376149346,0.1527937181160996,-0.5606714962385065,6307.0,14356.0,final
GH 15(C),Fire Flash,2026-W04,3,2026-W06,0.6338813039843968,0.3661186960156032,0.1527937181160996,-0.6338813039843968,5256.0,14356.0,final
GH 15(C),Fire Flash,2026-W05,2,2026-W06,0.5199219838395096,0.4800780161604904,0.1527937181160996,-0.5199219838395096,6892.0,14356.0,final
GH 15(C),Fire Flash,2026-W06,1,2026-W06,0.653106714962385,0.3468932850376149,0.1527937181160996,-0.653106714962385,4980.0,14356.0,final
GH 16(A),Fire Flash,2026-W03,4,2026-W06,0.39414298018949184,1.3941429801894918,0.35204335700042305,0.39414298018949184,8093.0,5805.0,final
GH 16(A),Fire Flash,2026-W04,3,2026-W06,0.03944875107665805,0.960551248923342,0.35204335700042305,-0.03944875107665805,5576.0,5805.0,final
GH 16(A),Fire Flash,2026-W05,2,2026-W06,0.27200689061154176,0.7279931093884582,0.35204335700042305,-0.27200689061154176,4226.0,5805.0,final
GH 16(A),Fire Flash,2026-W06,1,2026-W06,0.3338501291989664,0.6661498708010336,0.35204335700042305,-0.3338501291989664,3867.0,5805.0,final
GH 23(A),Fireworks,2026-W03,4,2026-W06,0.5730493630573248,1.5730493630573248,0.08051236577637991,0.5730493630573248,7903.0,5024.0,final
GH 23(A),Fireworks,2026-W04,3,2026-W06,0.6510748407643312,1.6510748407643312,0.08051236577637991,0.6510748407643312,8295.0,5024.0,final
GH 23(A),Fireworks,2026-W05,2,2026-W06,0.5410031847133758,1.5410031847133758,0.08051236577637991,0.5410031847133758,7742.0,5024.0,final
GH 23(A),Fireworks,2026-W06,1,2026-W06,0.8375796178343949,1.8375796178343948,0.08051236577637991,0.8375796178343949,9232.0,5024.0,final
GH 28(A),Fireworks,2026-W03,4,2026-W06,0.09123886128854192,1.091238861288542,0.11435480537674174,0.09123886128854192,13838.0,12681.0,final
GH 28(A),Fireworks,2026-W04,3,2026-W06,0.17703651131614226,1.1770365113161423,0.11435480537674174,0.17703651131614226,14926.0,12681.0,final
GH 28(A),Fireworks,2026-W05,2,2026-W06,0.08563993375916726,0.9143600662408328,0.11435480537674174,-0.08563993375916726,11595.0,12681.0,final
GH 28(A),Fireworks,2026-W06,1,2026-W06,0.18090055989275294,1.1809005598927529,0.11435480537674174,0.18090055989275294,14975.0,12681.0,final
GH 32(B),Fireworks,2026-W03,4,2026-W06,1.6291423301567785,2.6291423301567782,0.7412369217436605,1.6291423301567785,42763.0,16265.0,final
GH 32(B),Fireworks,2026-W04,3,2026-W06,0.30236704580387336,1.3023670458038734,0.7412369217436605,0.30236704580387336,21183.0,16265.0,final
GH 32(B),Fireworks,2026-W05,2,2026-W06,0.6506609283738088,0.3493390716261912,0.7412369217436605,-0.6506609283738088,5682.0,16265.0,final
GH 32(B),Fireworks,2026-W06,1,2026-W06,0.06449431294189978,0.9355056870581002,0.7412369217436605,-0.06449431294189978,15216.0,16265.0,final
GH 33(A),Fireworks,2026-W03,4,2026-W06,2.3112582781456954,3.3112582781456954,0.456064432688444,2.3112582781456954,10500.0,3171.0,final
GH 33(A),Fireworks,2026-W04,3,2026-W06,1.6474298328602965,2.6474298328602965,0.456064432688444,1.6474298328602965,8395.0,3171.0,final
