field_name,variety_name,forecast_week,horizon,horizon_week,wape,accuracy,forecast_stability_index,bias,total_forecast,total_harvest,forecast_kind
GH (10),Ever Red,2026-W04,4,2026-W07,1.6606095679012345,2.6606095679012345,0.14221650865228916,1.6606095679012345,68963.0,25920.0,raw
GH (10),Ever Red,2026-W05,3,2026-W07,0.8704475308641976,1.8704475308641975,0.14221650865228916,0.8704475308641976,48482.0,25920.0,raw
GH (10),Ever Red,2026-W06,2,2026-W07,1.257638888888889,2.2576388888888888,0.14221650865228916,1.257638888888889,58518.0,25920.0,raw
GH (10),Ever Red,2026-W07,1,2026-W07,1.3183641975308642,2.318364197530864,0.14221650865228916,1.3183641975308642,60092.0,25920.0,raw
GH (11),Ever Red,2026-W04,4,2026-W07,1.2497435897435898,2.2497435897435896,0.1331566178325683,1.2497435897435898,30709.0,13650.0,raw
GH (11),Ever Red,2026-W05,3,2026-W07,0.9845421245421245,1.9845421245421246,0.1331566178325683,0.9845421245421245,27089.0,13650.0,raw
GH (11),Ever Red,2026-W06,2,2026-W07,0.6231501831501831,1.6231501831501831,0.1331566178325683,0.6231501831501831,22156.0,13650.0,raw
GH (11),Ever Red,2026-W07,1,2026-W07,0.8989010989010989,1.8989010989010988,0.1331566178325683,0.8989010989010989,25920.0,13650.0,raw
GH (13),Ever Red,2026-W04,4,2026-W07,3.5244200244200243,4.524420024420024,0.24322441631276992,3.5244200244200243,37055.0,8190.0,raw
GH (13),Ever Red,2026-W05,3,2026-W07,2.0853479853479855,3.0853479853479855,0.24322441631276992,2.0853479853479855,25269.0,8190.0,raw
GH (13),Ever Red,2026-W06,2,2026-W07,1.881929181929182,2.881929181929182,0.24322441631276992,1.881929181929182,23603.0,8190.0,raw
GH (13),Ever Red,2026-W07,1,2026-W07,1.8062271062271062,2.806227106227106,0.24322441631276992,1.8062271062271062,22983.0,8190.0,raw
GH (15),Ever Red,2026-W04,4,2026-W07,1.6979725700655932,2.6979725700655934,0.3688290058118739,1.6979725700655932,27147.0,10062.0,raw
GH (15),Ever Red,2026-W05,3,2026-W07,0.1581196581196581,1.1581196581196582,0.3688290058118739,0.1581196581196581,11653.0,10062.0,raw
