field_name,variety_name,forecast_week,horizon,horizon_week,wape,accuracy,forecast_stability_index,bias,total_forecast,total_harvest,forecast_kind
1A,Athena,2026-W04,4,2026-W07,0.46859275053304905,0.531407249466951,0.4505205555447682,-0.46859275053304905,24923.0,46900.0,raw
1A,Athena,2026-W05,3,2026-W07,0.5591044776119403,0.4408955223880597,0.4505205555447682,-0.5591044776119403,20678.0,46900.0,raw
1A,Athena,2026-W06,2,2026-W07,0.32718550106609806,0.6728144989339019,0.4505205555447682,-0.32718550106609806,31555.0,46900.0,raw
1A,Athena,2026-W07,1,2026-W07,0.1478678038379531,1.147867803837953,0.4505205555447682,0.1478678038379531,53835.0,46900.0,raw
1B,Athena,2026-W04,4,2026-W07,0.5109879518072289,0.4890120481927711,0.47185958552149293,-0.5109879518072289,20294.0,41500.0,raw
1B,Athena,2026-W05,3,2026-W07,0.5960240963855422,0.40397590361445784,0.47185958552149293,-0.5960240963855422,16765.0,41500.0,raw
1B,Athena,2026-W06,2,2026-W07,0.052674698795180726,1.0526746987951807,0.47185958552149293,0.052674698795180726,43686.0,41500.0,raw
1B,Athena,2026-W07,1,2026-W07,0.0643132530120482,1.0643132530120483,0.47185958552149293,0.0643132530120482,44169.0,41500.0,raw
1C,Athena,2026-W04,4,2026-W07,0.5620959595959596,0.4379040404040404,0.46518906834512136,-0.5620959595959596,17341.0,39600.0,raw
1C,Athena,2026-W05,3,2026-W07,0.6568939393939394,0.3431060606060606,0.46518906834512136,-0.6568939393939394,13587.0,39600.0,raw
1C,Athena,2026-W06,2,2026-W07,0.019444444444444445,0.9805555555555555,0.46518906834512136,-0.019444444444444445,38830.0,39600.0,raw
1C,Athena,2026-W07,1,2026-W07,0.2708333333333333,0.7291666666666666,0.46518906834512136,-0.2708333333333333,28875.0,39600.0,raw
2B,Athena,2026-W04,4,2026-W07,0.55982924226254,0.44017075773746,0.6137873594813804,-0.55982924226254,20622.0,46850.0,raw
2B,Athena,2026-W05,3,2026-W07,0.6022625400213447,0.3977374599786553,0.6137873594813804,-0.6022625400213447,18634.0,46850.0,raw
2B,Athena,2026-W06,2,2026-W07,0.17257203842049093,1.172572038420491,0.6137873594813804,0.17257203842049093,54935.0,46850.0,raw
2B,Athena,2026-W07,1,2026-W07,0.4648239060832444,1.4648239060832444,0.6137873594813804,0.4648239060832444,68627.0,46850.0,raw
