field_name,variety_name,forecast_week,horizon,horizon_week,wape,accuracy,forecast_stability_index,bias,total_forecast,total_harvest,forecast_kind
GH 18,Athena,2026-W04,4,2026-W07,0.19831491712707183,1.1983149171270717,0.30536145426591815,0.19831491712707183,86758.0,72400.0,raw
GH 18,Athena,2026-W05,3,2026-W07,1.2466988950276243,2.2466988950276243,0.30536145426591815,1.2466988950276243,162661.0,72400.0,raw
GH 18,Athena,2026-W06,2,2026-W07,0.3586878453038674,1.3586878453038673,0.30536145426591815,0.3586878453038674,98369.0,72400.0,raw
GH 18,Athena,2026-W07,1,2026-W07,0.39104972375690605,1.3910497237569062,0.30536145426591815,0.39104972375690605,100712.0,72400.0,raw
GH 2,Athena,2026-W04,4,2026-W07,0.014400263620386643,1.0144002636203866,0.10641465857800655,0.014400263620386643,92351.0,91040.0,raw
GH 2,Athena,2026-W05,3,2026-W07,0.31832161687170474,1.3183216168717047,0.10641465857800655,0.31832161687170474,120020.0,91040.0,raw
GH 2,Athena,2026-W06,2,2026-W07,0.16241212653778558,1.1624121265377856,0.10641465857800655,0.16241212653778558,105826.0,91040.0,raw
GH 2,Athena,2026-W07,1,2026-W07,0.18628075571177505,1.186280755711775,0.10641465857800655,0.18628075571177505,107999.0,91040.0,raw
GH 26,Athena,2026-W04,4,2026-W07,0.007174657534246575,0.9928253424657534,0.3936211404308369,-0.007174657534246575,57981.0,58400.0,raw
GH 26,Athena,2026-W05,3,2026-W07,0.18962328767123288,0.8103767123287671,0.3936211404308369,-0.18962328767123288,47326.0,58400.0,raw
GH 26,Athena,2026-W06,2,2026-W07,0.7796917808219178,1.7796917808219177,0.3936211404308369,0.7796917808219178,103934.0,58400.0,raw
GH 26,Athena,2026-W07,1,2026-W07,0.8564554794520548,1.8564554794520547,0.3936211404308369,0.8564554794520548,108417.0,58400.0,raw
GH 28,Athena,2026-W04,4,2026-W07,0.29930437251561615,0.7006956274843839,0.32210667121484526,-0.29930437251561615,49357.0,70440.0,raw
GH 28,Athena,2026-W05,3,2026-W07,0.674801249290176,1.674801249290176,0.32210667121484526,0.674801249290176,117973.0,70440.0,raw
GH 28,Athena,2026-W06,2,2026-W07,0.4399204997160704,1.4399204997160704,0.32210667121484526,0.4399204997160704,101428.0,70440.0,raw
GH 28,Athena,2026-W07,1,2026-W07,0.40100795002839296,1.401007950028393,0.32210667121484526,0.40100795002839296,98687.0,70440.0,raw
GH 35,Athena,2026-W04,4,2026-W07,0.01955128205128205,0.9804487179487179,0.06914366409225946,-0.01955128205128205,70357.0,71760.0,raw
GH 35,Athena,2026-W05,3,2026-W07,0.10280100334448161,1.1028010033444815,0.06914366409225946,0.10280100334448161,79137.0,71760.0,raw
GH 35,Athena,2026-W06,2,2026-W07,0.027313266443701228,0.9726867335562988,0.06914366409225946,-0.027313266443701228,69800.0,71760.0,raw
GH 35,Athena,2026-W07,1,2026-W07,0.09881549609810479,1.0988154960981047,0.06914366409225946,0.09881549609810479,78851.0,71760.0,raw
GH 4,Athena,2026-W04,4,2026-W07,0.06202195467422096,1.062021954674221,0.08595480765074764,0.06202195467422096,59983.0,56480.0,raw
GH 4,Athena,2026-W05,3,2026-W07,0.244157223796034,1.2441572237960339,0.08595480765074764,0.244157223796034,70270.0,56480.0,raw
GH 4,Athena,2026-W06,2,2026-W07,0.2994157223796034,1.2994157223796035,0.08595480765074764,0.2994157223796034,73391.0,56480.0,raw
GH 4,Athena,2026-W07,1,2026-W07,0.25104461756373936,1.2510446175637393,0.08595480765074764,0.25104461756373936,70659.0,56480.0,raw
GH 48,Athena,2026-W04,4,2026-W07,3.5871951219512197,4.587195121951219,0.450361691694254,3.5871951219512197,52661.0,11480.0,raw
GH 48,Athena,2026-W05,3,2026-W07,1.9448606271777003,2.9448606271777003,0.450361691694254,1.9448606271777003,33807.0,11480.0,raw
GH 48,Athena,2026-W06,2,2026-W07,2.922212543554007,3.922212543554007,0.450361691694254,2.922212543554007,45027.0,11480.0,raw
GH 48,Athena,2026-W07,1,2026-W07,0.28614982578397213,1.286149825783972,0.450361691694254,0.28614982578397213,14765.0,11480.0,raw
